date,event,type,team,location,year,month,day,day_of_week,day_name,is_weekend,start_hour
2021-09-02 19:10:00-04:00,Mets vs Miami Marlins (Home),Sports,Mets,Home,2021,9,2,3,Thursday,False,19
2021-09-03 19:05:00-04:00,Yankees vs Baltimore Orioles (Home),Sports,Yankees,Home,2021,9,3,4,Friday,False,19
2021-09-03 19:05:00-04:00,Mets vs Washington Nationals (Away),Sports,Mets,Away,2021,9,3,4,Friday,False,19
2021-09-04 13:05:00-04:00,Mets vs Washington Nationals (Away),Sports,Mets,Away,2021,9,4,5,Saturday,True,13
2021-09-04 13:05:00-04:00,Yankees vs Baltimore Orioles (Home),Sports,Yankees,Home,2021,9,4,5,Saturday,True,13
2021-09-04 18:05:00-04:00,Mets vs Washington Nationals (Away),Sports,Mets,Away,2021,9,4,5,Saturday,True,18
2021-09-05 13:05:00-04:00,Yankees vs Baltimore Orioles (Home),Sports,Yankees,Home,2021,9,5,6,Sunday,True,13
2021-09-05 13:05:00-04:00,Mets vs Washington Nationals (Away),Sports,Mets,Away,2021,9,5,6,Sunday,True,13
2021-09-06 00:00:00-04:00,Labor Day,Holiday,,,2021,9,6,0,Monday,False,0
2021-09-06 13:05:00-04:00,Mets vs Washington Nationals (Away),Sports,Mets,Away,2021,9,6,0,Monday,False,13
2021-09-06 13:05:00-04:00,Yankees vs Toronto Blue Jays (Home),Sports,Yankees,Home,2021,9,6,0,Monday,False,13
2021-09-07 18:40:00-04:00,Mets vs Miami Marlins (Away),Sports,Mets,Away,2021,9,7,1,Tuesday,False,18
2021-09-07 19:05:00-04:00,Yankees vs Toronto Blue Jays (Home),Sports,Yankees,Home,2021,9,7,1,Tuesday,False,19
2021-09-08 18:40:00-04:00,Mets vs Miami Marlins (Away),Sports,Mets,Away,2021,9,8,2,Wednesday,False,18
2021-09-08 19:05:00-04:00,Yankees vs Toronto Blue Jays (Home),Sports,Yankees,Home,2021,9,8,2,Wednesday,False,19
2021-09-09 18:40:00-04:00,Mets vs Miami Marlins (Away),Sports,Mets,Away,2021,9,9,3,Thursday,False,18
2021-09-09 19:05:00-04:00,Yankees vs Toronto Blue Jays (Home),Sports,Yankees,Home,2021,9,9,3,Thursday,False,19
2021-09-10 19:10:00-04:00,Yankees vs New York Mets (Away),Sports,Yankees,Away,2021,9,10,4,Friday,False,19
